date,type,category,item,amount,source,card
7/1/2012,הוצאה,מיסים ותשלומים,," ₪  1,261 ",,
7/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  902 ,,
7/1/2012,הוצאה,ביגוד והנעלה,, ₪  -   ,,
7/1/2012,הוצאה,בריאות,, ₪  626 ,,
7/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  490 ,,
7/1/2012,הוצאה,מתנות ומזכרות,," ₪  1,921 ",,
7/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  3,130 ",,
7/1/2012,הוצאה,בית וגן,, ₪  240 ,,
7/1/2012,הוצאה,תרבות ופנאי,, ₪  490 ,,
7/1/2012,הוצאה,שירותי בנקאות,, ₪  27 ,,
7/1/2012,הוצאה,ביטוח,, ₪  106 ,,
7/1/2012,הוצאה,שונות,," ₪  1,759 ",,
7/1/2012,הוצאה,מזון ומשקאות,, ₪  104 ,,
7/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"16,690.00",,
7/1/2012,הכנסה,הפקדת שיקים,,,,
7/1/2012,הכנסה,מזומן,,0,,
7/1/2012,הכנסה,הכנסות אחרות,,0.00,,
7/1/2012,הכנסה,משכורת/קצבה,משכורת עינב,"8,304.34",,
7/1/2012,הכנסה,הפקדת שיקים,,0.00,,
7/1/2012,הכנסה,מזומן,,0,,
7/1/2012,הכנסה,הכנסות אחרות,,0,,
8/1/2012,הוצאה,נופש,," ₪  1,981 ",,
8/1/2012,הוצאה,שיקים,," ₪  8,000 ",,
8/1/2012,הוצאה,רכב ותחבורה,," ₪  4,351 ",,
8/1/2012,הוצאה,מזון ומשקאות,," ₪  1,996 ",,
8/1/2012,הוצאה,בילוי ומסעדות,," ₪  2,222 ",,
8/1/2012,הוצאה,מזומן,," ₪  1,864 ",,
8/1/2012,הוצאה,חינוך ומשפחה,," ₪  2,677 ",,
8/1/2012,הוצאה,מיסים ותשלומים,, ₪  263 ,,
8/1/2012,הוצאה,יופי ואביזרי אופנה,," ₪  1,473 ",,
8/1/2012,הוצאה,ביגוד והנעלה,," ₪  3,330 ",,
8/1/2012,הוצאה,בריאות,," ₪  2,756 ",,
8/1/2012,הוצאה,מוצרי חשמל ותקשורת,," ₪  1,735 ",,
8/1/2012,הוצאה,מתנות ומזכרות,," ₪  3,689 ",,
8/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  2,907 ",,
8/1/2012,הוצאה,בית וגן,, ₪  651 ,,
8/1/2012,הוצאה,תרבות ופנאי,, ₪  294 ,,
8/1/2012,הוצאה,שירותי בנקאות,, ₪  24 ,,
8/1/2012,הוצאה,ביטוח,, ₪  -   ,,
8/1/2012,הוצאה,שונות,," ₪  44,239 ",,
8/1/2012,הוצאה,מזון ומשקאות,, ₪  321 ,,
8/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"23,871.00",,
8/1/2012,הכנסה,הפקדת שיקים,,0,,
8/1/2012,הכנסה,מזומן,,400,,
8/1/2012,הכנסה,הכנסות אחרות,,0,,
8/1/2012,הכנסה,משכורת/קצבה,,"9,592.94",,
8/1/2012,הכנסה,הפקדת שיקים,צ'ק מראובן ושרה,50000,,
8/1/2012,הכנסה,מזומן,,0,,
8/1/2012,הכנסה,הכנסות אחרות,,"11,000.00",,
9/1/2012,הוצאה,נופש,, ₪  430 ,,
9/1/2012,הוצאה,שיקים,, ₪  -   ,,
9/1/2012,הוצאה,רכב ותחבורה,," ₪  4,648 ",,
9/1/2012,הוצאה,מזון ומשקאות,," ₪  2,075 ",,
9/1/2012,הוצאה,בילוי ומסעדות,," ₪  3,387 ",,
9/1/2012,הוצאה,מזומן,," ₪  3,700 ",,
9/1/2012,הוצאה,חינוך ומשפחה,," ₪  3,500 ",,
9/1/2012,הוצאה,מיסים ותשלומים,," ₪  1,455 ",,
9/1/2012,הוצאה,יופי ואביזרי אופנה,," ₪  3,085 ",,
9/1/2012,הוצאה,ביגוד והנעלה,," ₪  4,422 ",,
9/1/2012,הוצאה,בריאות,, ₪  468 ,,
9/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  87 ,,
9/1/2012,הוצאה,מתנות ומזכרות,," ₪  1,859 ",,
9/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  2,905 ",,
9/1/2012,הוצאה,בית וגן,, ₪  346 ,,
9/1/2012,הוצאה,תרבות ופנאי,, ₪  136 ,,
9/1/2012,הוצאה,שירותי בנקאות,, ₪  46 ,,
9/1/2012,הוצאה,ביטוח,, ₪  -   ,,
9/1/2012,הוצאה,שונות,," ₪  124,646 ",,
9/1/2012,הוצאה,מזון ומשקאות,, ₪  383 ,,
9/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"15,921.00",,
9/1/2012,הכנסה,הפקדת שיקים,,0,,
9/1/2012,הכנסה,מזומן,,0,,
9/1/2012,הכנסה,הכנסות אחרות,,0,,
9/1/2012,הכנסה,משכורת/קצבה,,"9,471.36",,
9/1/2012,הכנסה,הפקדת שיקים,צ'קים מהחתונה,"78,050.55",,
9/1/2012,הכנסה,מזומן,מזומן מהחתונה,"22,800.00",,
9/1/2012,הכנסה,הכנסות אחרות,העברה מנטע ועזי,15000,,
10/1/2012,הוצאה,נופש,," ₪  9,695 ",,
10/1/2012,הוצאה,שיקים,, ₪  -   ,,
10/1/2012,הוצאה,רכב ותחבורה,," ₪  6,844 ",,
10/1/2012,הוצאה,מזון ומשקאות,," ₪  1,914 ",,
10/1/2012,הוצאה,בילוי ומסעדות,," ₪  2,257 ",,
10/1/2012,הוצאה,מזומן,," ₪  1,863 ",,
10/1/2012,הוצאה,חינוך ומשפחה,," ₪  4,497 ",,
10/1/2012,הוצאה,מיסים ותשלומים,, ₪  431 ,,
10/1/2012,הוצאה,יופי ואביזרי אופנה,," ₪  2,259 ",,
10/1/2012,הוצאה,ביגוד והנעלה,," ₪  2,161 ",,
10/1/2012,הוצאה,בריאות,," ₪  1,782 ",,
10/1/2012,הוצאה,מוצרי חשמל ותקשורת,," ₪  3,300 ",,
10/1/2012,הוצאה,מתנות ומזכרות,," ₪  1,517 ",,
10/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  3,065 ",,
10/1/2012,הוצאה,בית וגן,, ₪  772 ,,
10/1/2012,הוצאה,תרבות ופנאי,, ₪  580 ,,
10/1/2012,הוצאה,שירותי בנקאות,, ₪  121 ,,
10/1/2012,הוצאה,ביטוח,, ₪  -   ,,
10/1/2012,הוצאה,שונות,," ₪  1,607 ",,
10/1/2012,הוצאה,מזון ומשקאות,, ₪  391 ,,
10/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"15,603.00",,
10/1/2012,הכנסה,הפקדת שיקים,,0,,
10/1/2012,הכנסה,מזומן,,0,,
10/1/2012,הכנסה,הכנסות אחרות,,0,,
10/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"8,259.17",,
10/1/2012,הכנסה,הפקדת שיקים,צ'קים מהחתונה,"56,460.00",,
10/1/2012,הכנסה,מזומן,,600,,
